from,to
1,14
2,37
3,6
4,25
5,41
6,48
7,20
8,33
9,11
10,30
11,22
12,44
13,28
14,50
15,5
16,39
17,9
18,47
19,24
20,42
21,3
22,36
23,7
24,29
25,49
26,38
27,12
28,32
29,2
30,45
31,19
32,35
33,8
34,26
35,43
36,21
37,46
38,15
39,40
40,4
41,27
42,10
43,31
44,13
45,34
46,23
47,1
48,16
49,18
50,17
14,37
6,25
41,48
20,33
11,30
22,44
28,50
5,39
9,47
24,29
49,38
15,40
4,27
26,12
32,35
8,26
34,21
36,46
23,1
16,18
17,17
19,2
10,45
31,19
33,8
7,28
3,13
37,28
12,32
13,33
2,36
1,46
25,23
21,3
27,12
30,45
35,43
18,31
38,15
40,4
29,2
39,40
